Priority,tenure,Contract,MonthlyCharges,InternetService,PaymentMethod,ChurnProbability,ActualChurn
1,1,Month-to-month,100.8,Fiber optic,Electronic check,0.9467563399059392,1
2,1,Month-to-month,78.95,Fiber optic,Electronic check,0.938662948712646,1
3,1,Month-to-month,79.6,Fiber optic,Electronic check,0.9355026294667568,1
4,1,Month-to-month,86.6,Fiber optic,Electronic check,0.9350341189740076,1
5,1,Month-to-month,81.1,Fiber optic,Electronic check,0.9344113049016016,1
6,1,Month-to-month,86.05,Fiber optic,Electronic check,0.934261425837738,1
7,1,Month-to-month,93.3,Fiber optic,Electronic check,0.929295308159094,1
8,1,Month-to-month,77.15,Fiber optic,Electronic check,0.9281873873374632,1
9,5,Month-to-month,100.5,Fiber optic,Electronic check,0.928056677813249,1
10,6,Month-to-month,98.25,Fiber optic,Electronic check,0.9254708580462448,1
11,2,Month-to-month,95.15,Fiber optic,Electronic check,0.9237183001571716,1
12,2,Month-to-month,94.0,Fiber optic,Electronic check,0.922479009841642,1
13,1,Month-to-month,69.8,Fiber optic,Electronic check,0.9222083514619136,1
14,2,Month-to-month,93.85,Fiber optic,Electronic check,0.9198854312402258,1
15,1,Month-to-month,69.55,Fiber optic,Electronic check,0.9194280014888904,1
16,1,Month-to-month,69.6,Fiber optic,Electronic check,0.9191247504543766,1
17,1,Month-to-month,78.05,Fiber optic,Electronic check,0.9189169691760428,1
18,3,Month-to-month,101.55,Fiber optic,Bank transfer (automatic),0.9185148961487484,1
19,1,Month-to-month,69.65,Fiber optic,Electronic check,0.918107198240143,1
20,1,Month-to-month,69.85,Fiber optic,Electronic check,0.91799521250532,1
21,1,Month-to-month,74.2,Fiber optic,Electronic check,0.9163059508153978,1
22,1,Month-to-month,79.6,Fiber optic,Electronic check,0.9150650033011228,1
23,1,Month-to-month,89.55,Fiber optic,Electronic check,0.9148069111518344,1
24,3,Month-to-month,94.6,Fiber optic,Electronic check,0.9146814543266496,1
25,5,Month-to-month,94.85,Fiber optic,Bank transfer (automatic),0.9104512644426024,1
26,1,Month-to-month,76.0,Fiber optic,Electronic check,0.9102042725751402,1
27,4,Month-to-month,84.6,Fiber optic,Electronic check,0.9080596434572198,1
28,6,Month-to-month,93.55,Fiber optic,Bank transfer (automatic),0.9071814334522704,1
29,1,Month-to-month,75.55,Fiber optic,Electronic check,0.9065650542371392,0
30,1,Month-to-month,80.0,Fiber optic,Electronic check,0.904177315931833,1
31,8,Month-to-month,100.15,Fiber optic,Credit card (automatic),0.897972712564599,0
32,1,Month-to-month,70.85,Fiber optic,Electronic check,0.8976126796791614,1
33,1,Month-to-month,71.0,Fiber optic,Electronic check,0.8966373462175098,1
34,1,Month-to-month,90.85,Fiber optic,Credit card (automatic),0.8963558310018541,1
